,Card_set,Card_number,Rarity,Card_name,Card_type,Attribute,ATK,DEF,Level,Link_no,Property,M_type1,M_type2,M_type3,M_type4,E_type1,E_type2,E_type3,E_type4,E_type5,E_type6,E_type7,E_type8,E_type9,E_type10,TCG_Banlist
0,Metal Raiders,MRD-116,Rare,Witch of the Black Forest,Monster,DARK,1100,1200,4.0,None,nan,Spellcaster , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
1,Photon Shockwave,PHSW-EN014,Common,Plasma Ball,Monster,LIGHT,900,900,3.0,None,nan,Thunder , Effect,None,None,Continuous, Trigger,,,,,,,,, Unlimited 
2,Rise of the Duelist,ROTD-EN030,Ultra Rare,Koa'ki Meiru Supplier,Monster,EARTH,1400,1600,4.0,None,nan,Rock , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
3,Pharaonic Guardian,PGD-093,Rare,Coffin Seller,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like,,,,,,,,,, Unlimited 
4,Rising Rampage,RIRA-EN060,Common,"Elborz, the Sacred Lands of Simorgh",Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like, Condition, Ignition-like, Ignition-like,,,,,,, Unlimited 
5,Duelist Alliance,DUEA-EN098,Common,Cloudcastle,Monster,WIND,0,3000,9.0,None,nan,Machine , Synchro , Effect,None,Trigger, Continuous,,,,,,,,, Unlimited 
6,Shadow of Infinity,SOI-EN048,Common,Samsara,Spell,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
7,Cybernetic Revolution,CRV-EN006,Common,Patroid,Monster,EARTH,1200,1200,4.0,None,nan,Machine , Effect,None,None,Ignition,,,,,,,,,, Unlimited 
8,Lord of the Tachyon Galaxy,LTGY-EN045,Ultra Rare,Gauntlet Launcher,Monster,EARTH,2400,2800,6.0,None,nan,Warrior , Xyz , Effect,None,Ignition,,,,,,,,,, Unlimited 
9,Stardust Overdrive,SOVR-EN022,Common,Reptilianne Scylla,Monster,DARK,1800,1200,4.0,None,nan,Reptile , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
10,Lightning Overdrive,LIOV-EN031,Common,Otoshidamashi,Monster,EARTH,1000,1000,1.0,None,nan,Beast , Tuner , Effect,None,Continuous, Trigger, Condition,,,,,,,, Unlimited 
11,Lightning Overdrive,LIOV-EN099,Common,Sunvine Cross Breed,Spell,nan,,None,,None,Continuous,nan,None,None,None,Ignition-like, Condition,,,,,,,,, Unlimited 
12,Storm of Ragnarok,STOR-EN004,Super Rare,D.D. Sprite,Monster,LIGHT,0,100,1.0,None,nan,Fairy , Tuner , Effect,None,Unclassified, Trigger,,,,,,,,, Unlimited 
13,Flaming Eternity,FET-EN004,Common,Insect Knight,Monster,EARTH,1900,1500,4.0,None,nan,Insect,None,None,None,nan,,,,,,,,,, Unlimited 
14,The Dark Illusion,TDIL-EN095,Common,Paleozoic Olenoides,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
15,Circuit Break,CIBR-EN089,Common,F.A. Pit Stop,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect, Ignition-like, Condition,,,,,,,, Unlimited 
16,Burst of Destiny,BODE-EN088,Ultra Rare,Ultra Beetrooper Absolute Hercules,Monster,EARTH,4000,4000,11.0,None,nan,Insect , Fusion , Effect,None,Unclassified, Trigger, Condition,,,,,,,, Unlimited 
17,Invasion: Vengeance,INOV-EN031,Common,Aromaseraphy Angelica,Monster,LIGHT,0,0,1.0,None,nan,Plant , Tuner , Effect,None,Quick, Ignition, Condition,,,,,,,, Unlimited 
18,The Duelist Genesis,TDGS-EN081,Super Rare,Counselor Lily,Monster,EARTH,400,1500,3.0,None,nan,Fairy , Tuner,None,None,Trigger,,,,,,,,,, Unlimited 
19,Ancient Prophecy,ANPR-EN013,Rare,Darksea Rescue,Monster,DARK,0,0,1.0,None,nan,Machine , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
20,Power of the Duelist,POTD-EN038,Common,Fake Hero,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Lingering,,,,,,,,, Unlimited 
21,Chaos Impact,CHIM-EN088,Super Rare,Dream Mirror Phantasms,Spell,nan,,None,,None,Continuous,nan,None,None,None,Effect, Continuous-like, Continuous-like, Condition,,,,,,, Unlimited 
22,Ignition Assault,IGAS-EN027,Rare,Ibicella Lutea,Monster,EARTH,1800,100,4.0,None,nan,Plant , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
23,Soul Fusion,SOFU-EN052,Common,Rise of the Salamangreat,Spell,nan,,None,,None,Ritual,nan,None,None,None,Effect, Trigger,,,,,,,,, Unlimited 
24,Storm of Ragnarok,STOR-EN005,Common,Top Runner,Monster,WIND,1100,800,4.0,None,nan,Machine , Tuner,None,None,Continuous,,,,,,,,,, Unlimited 
25,Duelist Alliance,DUEA-EN086,Super Rare,The Traveler and the Burning Abyss,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Condition,,,,,,,,, Unlimited 
26,Crossed Souls,CROS-EN085,Ultra Rare,The Terminus of the Burning Abyss,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect, Ignition-like,,,,,,,,, Unlimited 
27,Phantom Darkness,PTDN-EN033,Common,Black Veloci,Monster,EARTH,1800,300,4.0,None,nan,Dinosaur , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
28,Pharaonic Guardian,PGD-022,Common,Swarm of Locusts,Monster,DARK,1000,500,3.0,None,nan,Insect , Effect,None,None,Ignition, Trigger,,,,,,,,, Unlimited 
29,Raging Battle,RGBT-EN011,Common,Blackwing - Shura the Blue Flame,Monster,DARK,1800,1200,4.0,None,nan,Winged Beast , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
30,Lightning Overdrive,LIOV-EN017,Ultra Rare,Live☆Twin Ki-sikil Frost,Monster,LIGHT,500,0,2.0,None,nan,Aqua , Effect,None,None,Unclassified, Condition, Trigger, Condition,,,,,,, Unlimited 
31,Elemental Energy,EEN-EN055,Common,The League of Uniform Nomenclature,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
32,Storm of Ragnarok,STOR-EN068,Common,Nordic Relic Brisingamen,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
33,Dawn of Majesty,DAMA-EN002,Secret Rare,Stardust Synchron,Monster,LIGHT,1500,1000,4.0,None,nan,Machine , Tuner , Effect,None,Ignition, Trigger, Condition,,,,,,,, Unlimited 
34,Maximum Crisis ,MACR-EN016,Common,Double Resonator,Monster,FIRE,0,0,1.0,None,nan,Fiend , Tuner , Effect,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
35,Absolute Powerforce,ABPF-EN095,Secret Rare,Shield Wing,Monster,WIND,0,900,2.0,None,nan,Winged Beast , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
36,Flames of Destruction,FLOD-EN052,Rare,Greatfly,Monster,WIND,1400,None,,2,nan,Insect , Link , Effect,None,Continuous, Trigger, Condition,,,,,,,, Unlimited 
37,Pharaoh's Servant,PSV-056,Rare,Skull Invitation,Trap,nan,,None,,None,Continuous,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
38,Soul of the Duelist,SOD-EN031,Common,Enraged Muka Muka,Monster,EARTH,1200,600,5.0,None,nan,Rock , Effect,None,None,Continuous,,,,,,,,,, Unlimited 
39,Metal Raiders,MRD-044,Common,Mega Thunderball,Monster,WIND,750,600,2.0,None,nan,Thunder,None,None,None,nan,,,,,,,,,, Unlimited 
40,Battle of Chaos,BACH-EN092,Common,Fire Opal Head,Monster,FIRE,2500,1000,6.0,None,nan,Dinosaur , Pendulum , Normal,None,nan,,,,,,,,,, Unlimited 
41,Raging Battle,RGBT-EN044,Super Rare,Sea Dragon Lord Gishilnodon,Monster,WATER,2300,1800,5.0,None,nan,Sea Serpent , Synchro , Effect,None,Trigger,,,,,,,,,, Unlimited 
42,Legacy of Darkness,LOD-028,Super Rare,Reinforcement of the Army,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Limited 
43,The Duelist Genesis,TDGS-EN008,Rare,Big Piece Golem,Monster,EARTH,2100,0,5.0,None,nan,Rock , Effect,None,None,Unclassified,,,,,,,,,, Unlimited 
44,Elemental Energy,EEN-EN038,Common,Dark World Lightning,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
45,Return of the Duelist,REDU-EN007,Common,Heroic Challenger - Swordshield,Monster,EARTH,0,2000,4.0,None,nan,Warrior , Effect,None,None,Quick,,,,,,,,,, Unlimited 
46,Lightning Overdrive,LIOV-EN075,Ultra Rare,Amaze Attraction Horror House,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Quick-like, Condition,,,,,,,, Unlimited 
47,Light of Destruction,LODT-EN034,Common,"Interplanetary Invader ""A""",Monster,LIGHT,0,500,1.0,None,nan,Reptile , Effect,None,None,Trigger,,,,,,,,,, Unlimited 
48,Cybernetic Horizon,CYHO-EN036,Common,Link Devotee,Monster,EARTH,500,None,,1,nan,Cyberse , Link , Effect,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
49,Generation Force,GENF-EN089,Secret Rare,Smashing Horn,Trap,nan,,None,,None,Counter,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
50,Ghosts From the Past: The 2nd Haunting,GFP2-EN152,Ultra Rare,The Flute of Summoning Kuriboh,Spell,nan,,None,,None,Quick-Play,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
51,Starstrike Blast,STBL-EN049,Common,Scrap Lube,Spell,nan,,None,,None,Continuous,nan,None,None,None,Effect, Lingering, Continuous-like, Continuous-like, Condition,,,,,, Unlimited 
52,The Lost Millennium,TLM-EN046,Rare,Nitro Unit,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Trigger-like,,,,,,,,, Unlimited 
53,Gladiator's Assault,GLAS-EN030,Rare,Goblin Black Ops,Monster,DARK,1300,0,4.0,None,nan,Beast-Warrior , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
54,Legend of Blue Eyes White Dragon,LOB-105,Common,Skull Red Bird,Monster,WIND,1550,1200,4.0,None,nan,Winged Beast,None,None,None,nan,,,,,,,,,, Unlimited 
55,Clash of Rebellions,CORE-EN078,Common,Balance of Judgment,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect, Condition,,,,,,,, Unlimited 
56,Maximum Crisis ,MACR-EN018,Super Rare,Supreme King Gate Infinity,Monster,DARK,0,0,7.0,None,nan,Fiend , Pendulum , Effect,None,Pendulum Effect , Continuous-like, Condition, Ignition-like, Monster Effect, Ignition, Trigger,,,, Unlimited 
57,Crossroads of Chaos,CSOC-EN002,Rare,Turbo Synchron,Monster,WIND,100,500,1.0,None,nan,Machine , Tuner , Effect,None,Trigger, Trigger,,,,,,,,, Unlimited 
58,Legend of Blue Eyes White Dragon,LOB-119,Rare,Pot of Greed,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Forbidden 
59,Ghosts From the Past: The 2nd Haunting,GFP2-EN016,Ultra Rare,Shell Knight,Monster,EARTH,0,2000,4.0,None,nan,Rock , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
60,Phantom Rage,PHRA-EN096,Common,Myutant Expansion,Trap,nan,,None,,None,Continuous,nan,None,None,None,Effect, Continuous-like, Condition,,,,,,,, Unlimited 
61,Legend of Blue Eyes White Dragon,LOB-016,Common,Flame Manipulator,Monster,FIRE,900,1000,3.0,None,nan,Spellcaster , Normal,None,None,nan,,,,,,,,,, Unlimited 
62,Storm of Ragnarok,STOR-EN015,Super Rare,Svartalf of the Nordic Alfar,Monster,DARK,1400,1600,5.0,None,nan,Spellcaster , Tuner , Effect,None,Trigger,,,,,,,,,, Unlimited 
63,Labyrinth of Nightmare,LON-070,Common,Garuda the Wind Spirit,Monster,WIND,1600,1200,4.0,None,nan,Winged Beast , Effect,None,None,Summoning condition, Trigger,,,,,,,,, Unlimited 
64,Legend of Blue Eyes White Dragon,LOB-032,Common,Root Water,Monster,WATER,900,800,3.0,None,nan,Fish,None,None,None,nan,,,,,,,,,, Unlimited 
65,Phantom Darkness,PTDN-EN025,Common,Gemini Lancer,Monster,WATER,1800,1400,4.0,None,nan,Sea Serpent , Gemini,None,None,Unclassified, Condition, Continuous,,,,,,,, Unlimited 
66,Raging Tempest,RATE-EN027,Super Rare,"Tierra, Source of Destruction",Monster,LIGHT,3400,3600,11.0,None,nan,Fiend , Effect,None,None,Summoning condition, Summoning condition, Unclassified, Trigger, Condition,,,,,, Unlimited 
67,Labyrinth of Nightmare,LON-095,Common,Cyclon Laser,Spell,nan,,None,,None,Equip,nan,None,None,None,Condition, Continuous-like, Continuous-like,,,,,,,, Unlimited 
68,Raging Battle,RGBT-EN032,Common,Gigastone Omega,Monster,EARTH,1000,2300,5.0,None,nan,Rock , Effect,None,None,Summoning condition, Summoning condition, Trigger,,,,,,,, Unlimited 
69,Secrets of Eternity,SECE-EN073,Common,Re-qliate,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like, Trigger-like, Continuous-like,,,,,,,, Unlimited 
70,Shining Victories,SHVI-EN022,Ultra Rare,The White Stone of Ancients,Monster,LIGHT,600,500,1.0,None,nan,Dragon , Tuner , Effect,None,Trigger, Ignition, Condition,,,,,,,, Unlimited 
71,Ghosts From the Past: The 2nd Haunting,GFP2-EN095,Ultra Rare,Despian Comedy,Monster,DARK,0,2000,1.0,None,nan,Fairy , Effect,None,None,Quick, Quick, Condition,,,,,,,, Unlimited 
72,Savage Strike,SAST-EN006,Rare,Speedburst Dragon,Monster,DARK,2400,600,6.0,None,nan,Dragon , Effect,None,None,Trigger, Trigger, Condition,,,,,,,, Unlimited 
73,Crossroads of Chaos,CSOC-EN078,Common,DNA Checkup,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
74,Shining Victories,SHVI-EN041,Common,Gendo the Ascetic Monk,Monster,WATER,300,1800,4.0,None,nan,Spellcaster , Effect,None,None,Continuous, Continuous,,,,,,,,, Unlimited 
75,Duelist Revolution,DREV-EN070,Common,Scrap Rage,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
76,Strike of Neos,STON-EN047,Common,Shien's Castle of Mist,Spell,nan,,None,,None,Field,nan,None,None,None,Continuous-like,,,,,,,,,, Unlimited 
77,Starstrike Blast,STBL-EN052,Common,Barkion's Bark,Spell,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
78,Galactic Overlord,GAOV-EN048,Secret Rare,Hieratic Sun Dragon Overlord of Heliopolis,Monster,LIGHT,3000,2400,8.0,None,nan,Dragon , Xyz , Effect,None,Ignition,,,,,,,,,, Unlimited 
79,Ancient Prophecy,ANPR-EN040,Ultra Rare,Ancient Fairy Dragon,Monster,LIGHT,2100,3000,7.0,None,nan,Dragon , Synchro , Effect,None,Ignition, Condition, Ignition,,,,,,,, Forbidden 
80,Absolute Powerforce,ABPF-EN074,Common,Machine King - 3000 B.C.,Trap,nan,,None,,None,Continuous,nan,None,None,None,Effect, Ignition, Condition,,,,,,,, Unlimited 
81,Ghosts From the Past: The 2nd Haunting,GFP2-EN113,Ultra Rare,Doomking Balerdroch,Monster,DARK,2800,2000,8.0,None,nan,Zombie , Effect,None,None,Trigger, Condition, Quick,,,,,,,, Unlimited 
82,Metal Raiders,MRD-030,Common,Ocubeam,Monster,LIGHT,1550,1650,5.0,None,nan,Fairy,None,None,None,nan,,,,,,,,,, Unlimited 
83,Ancient Prophecy,ANPR-EN049,Common,Emergency Assistance,Spell,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
84,The Duelist Genesis,TDGS-EN033,Ultra Rare,Dark Hunter,Monster,DARK,1600,400,4.0,None,nan,Fiend , Effect,None,None,Condition, Continuous, Continuous, Ignition,,,,,,, Unlimited 
85,Rise of the Duelist,ROTD-EN006,Common,"Dogmatika Theo, the Iron Punch",Monster,LIGHT,1800,1500,4.0,None,nan,Spellcaster , Effect,None,None,Continuous, Condition, Ignition, Ignition,,,,,,, Unlimited 
86,Ghosts From the Past: The 2nd Haunting,GFP2-EN027,Ultra Rare,Altergeist Failover,Trap,nan,,None,,None,Continuous,nan,None,None,None,Trigger-like, Quick-like, Condition,,,,,,,, Unlimited 
87,Gladiator's Assault,GLAS-EN083,Super Rare,Defensive Tactics,Trap,nan,,None,,None,Normal,nan,None,None,None,Activation requirement, Effect,,,,,,,,, Unlimited 
88,Crossed Souls,CROS-EN003,Common,Performapal Bowhopper,Monster,EARTH,1500,1000,4.0,None,nan,Insect , Effect,None,None,Ignition, Ignition, Condition,,,,,,,, Unlimited 
89,The Shining Darkness,TSHD-EN000,Super Rare,XX-Saber Boggart Knight,Monster,EARTH,1900,1000,4.0,None,nan,Beast-Warrior , Effect,None,None,Trigger, Condition,,,,,,,,, Unlimited 
90,Extreme Force,EXFO-EN080,Short Print,Oops!,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect,,,,,,,,,, Unlimited 
91,Shadow Specters,SHSP-EN090,Ultra Rare,"Celestial Wolf Lord, Blue Sirius",Monster,DARK,2400,1500,6.0,None,nan,Beast-Warrior , Synchro , Effect,None,Trigger,,,,,,,,,, Unlimited 
92,Ignition Assault,IGAS-EN088,Secret Rare,Plunder Patrollship Moerk,Monster,DARK,1000,2500,4.0,None,nan,Fiend , Xyz , Effect,None,Ignition, Condition, Continuous,,,,,,,, Unlimited 
93,Soul Fusion,SOFU-EN006,Common,Dinowrestler Capoeiraptor,Monster,EARTH,1800,0,4.0,None,nan,Dinosaur , Effect,None,None,Continuous, Continuous, Trigger, Condition,,,,,,, Unlimited 
94,Cosmo Blazer,CBLZ-EN084,Secret Rare,Bonfire Colossus,Monster,FIRE,2600,2200,8.0,None,nan,Beast-Warrior , Effect,None,None,Unclassified, Trigger,,,,,,,,, Unlimited 
95,Shadow Specters,SHSP-EN079,Common,Survival of the Fittest,Trap,nan,,None,,None,Normal,nan,None,None,None,Effect, Continuous-like, Trigger-like,,,,,,,, Unlimited 
